# minFrequency, maxFrequency, mode, filterWidth, step, color, name

# 2200m
135700,       137800,       CW-L,  600, 10, #903232FF, 2200m Ham Band

# LW
148500,       283500,       AM-Sync,  8000, 10, #90DBFF32, LW Broadcast Radio

# MW
526500,       1606500,      AM-Sync,  8000, 10, #90DBFF32, MW Broadcast Radio

# 160m
1810000,      1838000,      CW-L,  600, 10, #903232FF, 160m Ham Band
1838000,      1843000,      DIGI_U,  3000, 10, #90FF3232, 160m Ham Band
1843000,      2000000,      LSB,  2700, 10, #9032EDFF, 160m Ham Band

# 120m
2300000,      2500000,      AM-Sync,  8000, 10, #90DBFF32, 120m Broadcast Radio

# 90m
3200000,      3400000,      AM-Sync,  8000, 10, #90DBFF32, 90m Broadcast Radio

# 80m
3500000,      3570000,      CW-L,  600, 10, #903232FF, 80m Ham Band
3570000,      3600000,      DIGI_U,  3000, 10, #90FF3232, 80m Ham Band
3600000,      3800000,      LSB,  2700, 10, #9032EDFF, 80m Ham Band

# 75m
3900000,      4000000,      AM-Sync,  8000, 10, #90DBFF32, 75m Broadcast Radio

# 60m
4700000,      5100000,      AM-Sync,  8000, 10, #90DBFF32, 60m Broadcast Radio

# 60m
5330500,      5357000,      USB,  2700, 10, #9032EDFF, 60m Ham Band
5357000,      5360000,      DIGI_U,  3000, 10, #90FF3232, 60m Ham Band
5360000,      5403500,      USB,  2700, 10, #9032EDFF, 60m Ham Band

# 49m
5800000,      6300000,      AM-Sync,  8000, 10, #90DBFF32, 49m Broadcast Radio

# 40m
7000000,      7040000,      CW-L,  600, 10, #903232FF, 40m Ham Band
7040000,      7060000,      DIGI_U,  3000, 10, #90FF3232, 40m Ham Band
7060000,      7074000,      LSB,  2700, 10, #9032EDFF, 40m Ham Band
7074000,      7080000,      DIGI_U,  3000, 10, #90FF3232, 40m Ham Band
7080000,      7200000,      LSB,  2700, 10, #9032EDFF, 40m Ham Band

# 41m
7200000,      7600000,      AM-Sync,  8000, 10, #90DBFF32, 41m Broadcast Radio

# 31m
9300000,      9995000,      AM-Sync,  8000, 10, #90DBFF32, 31m Broadcast Radio

# 30m
10100000,     10130000,     CW-L,  600, 10, #903232FF, 30m Ham Band
10130000,     10150000,     DIGI_U,  3000, 10, #90FF3232, 30m Ham Band

# 25m
11500000,     12200000,     AM-Sync,  8000, 10, #90DBFF32, 25m Broadcast Radio

# 22m
13500000,     13900000,     AM-Sync,  8000, 10, #90DBFF32, 22m Broadcast Radio

# 20m
14000000,     14070000,     CW-L,  600, 10, #903232FF, 20m Ham Band
14070000,     14112000,     DIGI_U,  3000, 10, #90FF3232, 20m Ham Band
14112000,     14350000,     USB,  2700, 10, #9032EDFF, 20m Ham Band

# 19m
15000000,     15900000,     AM-Sync,  8000, 10, #90DBFF32, 19m Broadcast Radio

# 16m
17400000,     17995000,     AM-Sync,  8000, 10, #90DBFF32, 16m Broadcast Radio

# 17m
18068000,     18095000,     CW-L,  600, 10, #903232FF, 17m Ham Band
18095000,     18120000,     DIGI_U,  3000, 10, #90FF3232, 17m Ham Band
18120000,     18168000,     USB,  2700, 10, #9032EDFF, 17m Ham Band

# 15m
18800000,     19100000,     AM-Sync,  8000, 10, #90DBFF32, 15m Broadcast Radio

# 15m
21000000,     21070000,     CW-L,  600, 10, #903232FF, 15m Ham Band
21070000,     21149000,     DIGI_U,  3000, 10, #90FF3232, 15m Ham Band
21149000,     21450000,     USB,  2700, 10, #9032EDFF, 15m Ham Band

# 13m
21450000,     21995000,     AM-Sync,  8000, 10, #90DBFF32, 13m Broadcast Radio

# 12m
24890000,     24915000,     CW-L,  600, 10, #903232FF, 12m Ham Band
24915000,     24940000,     DIGI_U,  3000, 10, #90FF3232, 12m Ham Band
24940000,     24990000,     USB,  2700, 10, #9032EDFF, 12m Ham Band

# 11m
25500000,     26200000,     AM-Sync,  8000, 10, #90DBFF32, 11m Broadcast Radio

# CB
26900000,     27130000,    Narrow FM, 10000, 10, #90FF32D0, CB Ham Band
27130000,     27140000,     AM,  8000, 10, #90DBFF32, CB Ham Band
27140000,     27415000,    Narrow FM, 10000, 10, #90FF32D0, CB Ham Band
27420000,     27995000,     USB,  2700, 10, #9032EDFF, CB Ham Band

# 10m
28000000,     28070000,     CW-L,  600, 10, #903232FF, 10m Ham Band
28070000,     28190000,     DIGI_U,  3000, 10, #90FF3232, 10m Ham Band
28190000,     28300000,     CW-L,  600, 10, #903232FF, 10m Ham Band
28300000,     28320000,     DIGI_U,  3000, 10, #90FF3232, 10m Ham Band
28320000,     29100000,     USB,  2700, 10, #9032EDFF, 10m Ham Band
29100000,     29200000,     Narrow FM, 10000, 10, #90FF32D0, 10m Ham Band
29200000,     29300000,     DIGI_U,  3000, 10, #90FF3232, 10m Ham Band
29300000,     29520000,     USB,  2700, 10, #9032EDFF, 10m Ham Band
29520000,     29700000,     Narrow FM, 10000, 10, #90FF32D0, 10m Ham Band

# 6m
50000000,     50100000,     CW-L,  600, 10, #903232FF, 6m Ham Band
50100000,     50300000,     USB,  2700, 10, #9032EDFF, 6m Ham Band
50300000,     50350000,     DIGI_U,  3000, 10, #90FF3232, 6m Ham Band
50350000,     50600000,     USB,  2700, 10, #9032EDFF, 6m Ham Band
50600000,     51000000,     DIGI_U,  3000, 10, #90FF3232, 6m Ham Band
51000000,     51100000,     USB,  2700, 10, #9032EDFF, 6m Ham Band
51100000,     54000000,     Narrow FM, 10000, 10, #90FF32D0, 6m Ham Band

# 4m
70000000,     70500000,     USB,  2700, 10, #9032EDFF, 4m Ham Band

# FM
70500000,     108000000,    WFM (stereo), 384000, 10, #90FF32D0, Broadcast Radio

# AIR
108000000,    137000000,    AM-Sync,   8000, 5000, #90DBFF32, Air Band

# 2m
144000000,    144110000,    CW-L,  600, 10, #903232FF, 2m Ham Band
144110000,    144170000,    USB,  2700, 10, #9032EDFF, 2m Ham Band
144170000,    144177000,    DIGI_U,  3000, 10, #90FF3232, 2m Ham Band
144177000,    144360000,    USB,  2700, 10, #9032EDFF, 2m Ham Band
144360000,    144363000,    DIGI_U,  3000, 10, #90FF3232, 2m Ham Band
144363000,    144491000,    USB,  2700, 10, #9032EDFF, 2m Ham Band
144491000,    146000000,    Narrow FM, 10000, 10, #90FF32D0, 2m Ham Band

# Marine
156000000,    174000000,    Narrow FM, 10000, 12500, #90FF32D0, Marine

# 70cm
430000000,    432000000,    Narrow FM, 10000, 10, #90FF32D0, 70cm Ham Band
432000000,    432063000,    CW-L,  600, 10, #903232FF, 70cm Ham Band
432063000,    432066000,    DIGI_U,  3000, 10, #90FF3232, 70cm Ham Band
432066000,    432100000,    CW-L,  600, 10, #903232FF, 70cm Ham Band
432100000,    432174000,    USB,  2700, 10, #9032EDFF, 70cm Ham Band
432174000,    432177000,    DIGI_U,  3000, 10, #90FF3232, 70cm Ham Band
432177000,    432300000,    USB,  2700, 10, #9032EDFF, 70cm Ham Band
432300000,    432303000,    DIGI_U,  3000, 10, #90FF3232, 70cm Ham Band
432303000,    432400000,    USB,  2700, 10, #9032EDFF, 70cm Ham Band
432400000,    432500000,    CW-L,  600, 10, #903232FF, 70cm Ham Band
